cwe_id,vulnerability_mapping,abstraction
5,ALLOWED,Variant
6,ALLOWED,Variant
7,ALLOWED,Variant
8,ALLOWED,Variant
9,ALLOWED,Variant
11,ALLOWED,Variant
12,ALLOWED,Variant
13,ALLOWED,Variant
14,ALLOWED,Variant
15,ALLOWED,Base
20,DISCOURAGED,Class
22,ALLOWED,Base
23,ALLOWED,Base
24,ALLOWED,Variant
25,ALLOWED,Variant
26,ALLOWED,Variant
27,ALLOWED,Variant
28,ALLOWED,Variant
29,ALLOWED,Variant
30,ALLOWED,Variant
31,ALLOWED,Variant
32,ALLOWED,Variant
33,ALLOWED,Variant
34,ALLOWED,Variant
35,ALLOWED,Variant
36,ALLOWED,Base
37,ALLOWED,Variant
38,ALLOWED,Variant
39,ALLOWED,Variant
40,ALLOWED,Variant
41,ALLOWED,Base
42,ALLOWED,Variant
43,ALLOWED,Variant
44,ALLOWED,Variant
45,ALLOWED,Variant
46,ALLOWED,Variant
47,ALLOWED,Variant
48,ALLOWED,Variant
49,ALLOWED,Variant
50,ALLOWED,Variant
51,ALLOWED,Variant
52,ALLOWED,Variant
53,ALLOWED,Variant
54,ALLOWED,Variant
55,ALLOWED,Variant
56,ALLOWED,Variant
57,ALLOWED,Variant
58,ALLOWED,Variant
59,ALLOWED,Base
61,ALLOWED,Composite
62,ALLOWED,Variant
64,ALLOWED,Variant
65,ALLOWED,Variant
66,ALLOWED,Base
67,ALLOWED,Variant
69,ALLOWED,Variant
72,ALLOWED,Variant
73,ALLOWED,Base
74,DISCOURAGED,Class
75,DISCOURAGED,Class
76,ALLOWED,Base
77,ALLOWED-WITH-REVIEW,Class
78,ALLOWED,Base
79,ALLOWED,Base
80,ALLOWED,Variant
81,ALLOWED,Variant
82,ALLOWED,Variant
83,ALLOWED,Variant
84,ALLOWED,Variant
85,ALLOWED,Variant
86,ALLOWED,Variant
87,ALLOWED,Variant
88,ALLOWED,Base
89,ALLOWED,Base
90,ALLOWED,Base
91,ALLOWED,Base
93,ALLOWED,Base
94,ALLOWED,Base
95,ALLOWED,Variant
96,ALLOWED,Base
97,ALLOWED,Variant
98,ALLOWED,Variant
99,ALLOWED-WITH-REVIEW,Class
102,ALLOWED,Variant
103,ALLOWED,Variant
104,ALLOWED,Variant
105,ALLOWED,Variant
106,ALLOWED,Variant
107,ALLOWED,Variant
108,ALLOWED,Variant
109,ALLOWED,Variant
110,ALLOWED,Variant
111,ALLOWED,Variant
112,ALLOWED,Base
113,ALLOWED,Variant
114,ALLOWED-WITH-REVIEW,Class
115,ALLOWED,Base
116,ALLOWED-WITH-REVIEW,Class
117,ALLOWED,Base
118,DISCOURAGED,Class
119,DISCOURAGED,Class
120,ALLOWED,Base
121,ALLOWED,Variant
122,ALLOWED,Variant
123,ALLOWED,Base
124,ALLOWED,Base
125,ALLOWED,Base
126,ALLOWED,Variant
127,ALLOWED,Variant
128,ALLOWED,Base
129,ALLOWED,Variant
130,ALLOWED,Base
131,ALLOWED,Base
134,ALLOWED,Base
135,ALLOWED,Base
138,DISCOURAGED,Class
140,ALLOWED,Base
141,ALLOWED,Variant
142,ALLOWED,Variant
143,ALLOWED,Variant
144,ALLOWED,Variant
145,ALLOWED,Variant
146,ALLOWED,Variant
147,ALLOWED,Variant
148,ALLOWED,Variant
149,ALLOWED,Variant
150,ALLOWED,Variant
151,ALLOWED,Variant
152,ALLOWED,Variant
153,ALLOWED,Variant
154,ALLOWED,Variant
155,ALLOWED,Variant
156,ALLOWED,Variant
157,ALLOWED,Variant
158,ALLOWED,Variant
159,ALLOWED-WITH-REVIEW,Class
160,ALLOWED,Variant
161,ALLOWED,Variant
162,ALLOWED,Variant
163,ALLOWED,Variant
164,ALLOWED,Variant
165,ALLOWED,Variant
166,ALLOWED,Base
167,ALLOWED,Base
168,ALLOWED,Base
170,ALLOWED,Base
172,ALLOWED-WITH-REVIEW,Class
173,ALLOWED,Variant
174,ALLOWED,Variant
175,ALLOWED,Variant
176,ALLOWED,Variant
177,ALLOWED,Variant
178,ALLOWED,Base
179,ALLOWED,Base
180,ALLOWED,Variant
181,ALLOWED,Variant
182,ALLOWED,Base
183,ALLOWED,Base
184,ALLOWED,Base
185,ALLOWED-WITH-REVIEW,Class
186,ALLOWED,Base
187,ALLOWED,Variant
188,ALLOWED,Base
190,ALLOWED,Base
191,ALLOWED,Base
192,ALLOWED,Variant
193,ALLOWED,Base
194,ALLOWED,Variant
195,ALLOWED,Variant
196,ALLOWED,Variant
197,ALLOWED,Base
198,ALLOWED,Base
200,DISCOURAGED,Class
201,ALLOWED,Base
202,ALLOWED,Variant
203,ALLOWED,Base
204,ALLOWED,Base
205,ALLOWED,Base
206,ALLOWED,Variant
207,ALLOWED,Variant
208,ALLOWED,Base
209,ALLOWED,Base
210,ALLOWED,Base
211,ALLOWED,Base
212,ALLOWED,Base
213,ALLOWED,Base
214,ALLOWED,Base
215,ALLOWED,Base
219,ALLOWED,Variant
220,ALLOWED,Variant
221,ALLOWED-WITH-REVIEW,Class
222,ALLOWED,Base
223,ALLOWED,Base
224,ALLOWED,Base
226,ALLOWED,Base
228,ALLOWED-WITH-REVIEW,Class
229,ALLOWED,Base
230,ALLOWED,Variant
231,ALLOWED,Variant
232,ALLOWED,Variant
233,ALLOWED,Base
234,ALLOWED,Variant
235,ALLOWED,Variant
236,ALLOWED,Variant
237,ALLOWED,Base
238,ALLOWED,Variant
239,ALLOWED,Variant
240,ALLOWED,Base
241,ALLOWED,Base
242,ALLOWED,Base
243,ALLOWED,Variant
244,ALLOWED,Variant
245,ALLOWED,Variant
246,ALLOWED,Variant
248,ALLOWED,Base
250,ALLOWED,Base
252,ALLOWED,Base
253,ALLOWED,Base
256,ALLOWED,Base
257,ALLOWED,Base
258,ALLOWED,Variant
259,ALLOWED,Variant
260,ALLOWED,Base
261,ALLOWED,Base
262,ALLOWED,Base
263,ALLOWED,Base
266,ALLOWED,Base
267,ALLOWED,Base
268,ALLOWED,Base
269,DISCOURAGED,Class
270,ALLOWED,Base
271,ALLOWED-WITH-REVIEW,Class
272,ALLOWED,Base
273,ALLOWED,Base
274,ALLOWED,Base
276,ALLOWED,Base
277,ALLOWED,Variant
278,ALLOWED,Variant
279,ALLOWED,Variant
280,ALLOWED,Base
281,ALLOWED,Base
282,ALLOWED-WITH-REVIEW,Class
283,ALLOWED,Base
284,DISCOURAGED,Pillar
285,DISCOURAGED,Class
286,ALLOWED-WITH-REVIEW,Class
287,DISCOURAGED,Class
288,ALLOWED,Base
289,ALLOWED,Variant
290,ALLOWED,Base
291,ALLOWED,Variant
293,ALLOWED,Variant
294,ALLOWED,Base
295,ALLOWED,Base
296,ALLOWED,Base
297,ALLOWED,Variant
298,ALLOWED,Variant
299,ALLOWED,Base
300,DISCOURAGED,Class
301,ALLOWED,Variant
302,ALLOWED,Variant
303,ALLOWED,Base
304,ALLOWED,Base
305,ALLOWED,Base
306,ALLOWED,Base
307,ALLOWED,Base
308,ALLOWED,Base
309,ALLOWED,Base
311,DISCOURAGED,Class
312,ALLOWED,Base
313,ALLOWED,Variant
314,ALLOWED,Variant
315,ALLOWED,Variant
316,ALLOWED,Variant
317,ALLOWED,Variant
318,ALLOWED,Variant
319,ALLOWED,Base
321,ALLOWED,Variant
322,ALLOWED,Base
323,ALLOWED,Variant
324,ALLOWED,Base
325,ALLOWED,Base
326,ALLOWED-WITH-REVIEW,Class
327,ALLOWED-WITH-REVIEW,Class
328,ALLOWED,Base
329,ALLOWED,Variant
330,DISCOURAGED,Class
331,ALLOWED,Base
332,ALLOWED,Variant
333,ALLOWED,Variant
334,ALLOWED,Base
335,ALLOWED,Base
336,ALLOWED,Variant
337,ALLOWED,Variant
338,ALLOWED,Base
339,ALLOWED,Variant
340,ALLOWED-WITH-REVIEW,Class
341,ALLOWED,Base
342,ALLOWED,Base
343,ALLOWED,Base
344,ALLOWED,Base
345,DISCOURAGED,Class
346,ALLOWED-WITH-REVIEW,Base
347,ALLOWED,Base
348,ALLOWED,Base
349,ALLOWED,Base
350,ALLOWED,Variant
351,ALLOWED,Base
352,ALLOWED,Composite
353,ALLOWED,Base
354,ALLOWED,Base
356,ALLOWED,Base
357,ALLOWED,Base
358,ALLOWED,Base
359,ALLOWED,Base
360,ALLOWED,Base
362,ALLOWED-WITH-REVIEW,Class
363,ALLOWED,Base
364,ALLOWED,Base
366,ALLOWED,Base
367,ALLOWED,Base
368,ALLOWED,Base
369,ALLOWED,Base
370,ALLOWED,Variant
372,ALLOWED,Base
374,ALLOWED,Base
375,ALLOWED,Base
377,ALLOWED-WITH-REVIEW,Class
378,ALLOWED,Base
379,ALLOWED,Base
382,ALLOWED,Variant
383,ALLOWED,Variant
384,ALLOWED,Composite
385,ALLOWED,Base
386,ALLOWED,Base
390,ALLOWED,Base
391,ALLOWED,Base
392,ALLOWED,Base
393,ALLOWED,Base
394,ALLOWED,Base
395,ALLOWED,Base
396,ALLOWED,Base
397,ALLOWED,Base
400,DISCOURAGED,Class
401,ALLOWED,Variant
402,ALLOWED-WITH-REVIEW,Class
403,ALLOWED,Base
404,ALLOWED-WITH-REVIEW,Class
405,ALLOWED-WITH-REVIEW,Class
406,ALLOWED-WITH-REVIEW,Class
407,ALLOWED-WITH-REVIEW,Class
408,ALLOWED,Base
409,ALLOWED,Base
410,ALLOWED,Base
412,ALLOWED,Base
413,ALLOWED,Base
414,ALLOWED,Base
415,ALLOWED,Variant
416,ALLOWED,Variant
419,ALLOWED,Base
420,ALLOWED,Base
421,ALLOWED,Base
422,ALLOWED,Variant
424,ALLOWED-WITH-REVIEW,Class
425,ALLOWED,Base
426,ALLOWED,Base
427,ALLOWED,Base
428,ALLOWED,Base
430,ALLOWED,Base
431,ALLOWED,Base
432,ALLOWED,Base
433,ALLOWED,Variant
434,ALLOWED,Base
435,DISCOURAGED,Pillar
436,ALLOWED-WITH-REVIEW,Class
437,ALLOWED,Base
439,ALLOWED,Base
440,ALLOWED,Base
441,ALLOWED-WITH-REVIEW,Class
444,ALLOWED,Base
446,ALLOWED-WITH-REVIEW,Class
447,ALLOWED,Base
448,ALLOWED,Base
449,ALLOWED,Base
450,ALLOWED,Base
451,ALLOWED-WITH-REVIEW,Class
453,ALLOWED,Variant
454,ALLOWED,Base
455,ALLOWED,Base
456,ALLOWED,Variant
457,ALLOWED,Variant
459,ALLOWED,Base
460,ALLOWED,Base
462,ALLOWED,Base
463,ALLOWED,Base
464,ALLOWED,Base
466,ALLOWED,Base
467,ALLOWED,Variant
468,ALLOWED,Base
469,ALLOWED,Base
470,ALLOWED,Base
471,ALLOWED,Base
472,ALLOWED,Base
473,ALLOWED,Variant
474,ALLOWED,Base
475,ALLOWED,Base
476,ALLOWED,Base
477,ALLOWED,Base
478,ALLOWED,Base
479,ALLOWED,Variant
480,ALLOWED,Base
481,ALLOWED,Variant
482,ALLOWED,Variant
483,ALLOWED,Base
484,ALLOWED,Base
486,ALLOWED,Variant
487,ALLOWED,Base
488,ALLOWED,Base
489,ALLOWED,Base
491,ALLOWED,Variant
492,ALLOWED,Variant
493,ALLOWED,Variant
494,ALLOWED,Base
495,ALLOWED,Variant
496,ALLOWED,Variant
497,ALLOWED,Base
498,ALLOWED,Variant
499,ALLOWED,Variant
500,ALLOWED,Variant
501,ALLOWED,Base
502,ALLOWED,Base
506,ALLOWED-WITH-REVIEW,Class
507,ALLOWED,Base
508,ALLOWED,Base
509,ALLOWED,Base
510,ALLOWED,Base
511,ALLOWED,Base
512,ALLOWED,Base
514,ALLOWED-WITH-REVIEW,Class
515,ALLOWED,Base
520,ALLOWED,Variant
521,ALLOWED,Base
522,ALLOWED-WITH-REVIEW,Class
523,ALLOWED,Base
524,ALLOWED,Base
525,ALLOWED,Variant
526,ALLOWED,Variant
527,ALLOWED,Variant
528,ALLOWED,Variant
529,ALLOWED,Variant
530,ALLOWED,Variant
531,ALLOWED,Variant
532,ALLOWED,Base
535,ALLOWED,Variant
536,ALLOWED,Variant
537,ALLOWED,Variant
538,ALLOWED,Base
539,ALLOWED,Variant
540,ALLOWED,Base
541,ALLOWED,Variant
543,ALLOWED,Variant
544,ALLOWED,Base
546,ALLOWED,Variant
547,ALLOWED,Variant
548,ALLOWED,Variant
549,ALLOWED,Base
550,ALLOWED,Variant
551,ALLOWED,Base
552,ALLOWED,Base
553,ALLOWED,Variant
554,ALLOWED,Variant
555,ALLOWED,Variant
556,ALLOWED,Variant
558,ALLOWED,Variant
560,ALLOWED,Variant
561,ALLOWED,Base
562,ALLOWED,Base
563,ALLOWED,Variant
564,ALLOWED,Variant
565,ALLOWED,Base
566,ALLOWED,Variant
567,ALLOWED,Base
568,ALLOWED,Variant
570,ALLOWED,Base
571,ALLOWED,Base
572,ALLOWED,Variant
573,ALLOWED-WITH-REVIEW,Class
574,ALLOWED,Variant
575,ALLOWED,Variant
576,ALLOWED,Variant
577,ALLOWED,Variant
578,ALLOWED,Variant
579,ALLOWED,Variant
580,ALLOWED,Variant
581,ALLOWED,Base
582,ALLOWED,Variant
583,ALLOWED,Variant
584,ALLOWED,Base
585,ALLOWED,Base
586,ALLOWED,Variant
587,ALLOWED,Base
588,ALLOWED,Variant
589,ALLOWED,Variant
590,ALLOWED,Variant
591,ALLOWED,Variant
593,ALLOWED,Variant
594,ALLOWED,Variant
595,ALLOWED,Variant
597,ALLOWED,Variant
598,ALLOWED,Variant
599,ALLOWED,Variant
600,ALLOWED,Base
601,ALLOWED,Base
602,ALLOWED-WITH-REVIEW,Base
603,ALLOWED,Base
605,ALLOWED,Base
606,ALLOWED,Base
607,ALLOWED,Variant
608,ALLOWED,Variant
609,ALLOWED,Base
610,DISCOURAGED,Class
611,ALLOWED,Base
612,ALLOWED,Base
613,ALLOWED,Base
614,ALLOWED,Variant
615,ALLOWED,Variant
616,ALLOWED,Variant
617,ALLOWED,Base
618,ALLOWED,Base
619,ALLOWED,Base
620,ALLOWED,Base
621,ALLOWED,Base
622,ALLOWED,Variant
623,ALLOWED,Variant
624,ALLOWED,Base
625,ALLOWED,Base
626,ALLOWED,Variant
627,ALLOWED,Base
628,ALLOWED,Base
636,ALLOWED-WITH-REVIEW,Class
637,ALLOWED-WITH-REVIEW,Class
638,ALLOWED-WITH-REVIEW,Class
639,ALLOWED,Base
640,ALLOWED,Base
641,ALLOWED,Base
642,ALLOWED-WITH-REVIEW,Class
643,ALLOWED,Base
644,ALLOWED,Variant
645,ALLOWED,Base
646,ALLOWED,Variant
647,ALLOWED,Variant
648,ALLOWED,Base
649,ALLOWED,Base
650,ALLOWED,Variant
651,ALLOWED,Variant
652,ALLOWED,Base
653,ALLOWED,Base
654,ALLOWED,Base
655,ALLOWED-WITH-REVIEW,Base
656,ALLOWED-WITH-REVIEW,Base
657,DISCOURAGED,Class
662,DISCOURAGED,Class
663,ALLOWED,Base
664,DISCOURAGED,Pillar
665,DISCOURAGED,Class
666,DISCOURAGED,Class
667,ALLOWED-WITH-REVIEW,Class
668,DISCOURAGED,Class
669,ALLOWED-WITH-REVIEW,Class
670,ALLOWED-WITH-REVIEW,Class
671,ALLOWED-WITH-REVIEW,Class
672,ALLOWED-WITH-REVIEW,Class
673,ALLOWED-WITH-REVIEW,Class
674,ALLOWED-WITH-REVIEW,Class
675,ALLOWED-WITH-REVIEW,Class
676,ALLOWED,Base
680,DISCOURAGED,Chain
681,ALLOWED,Base
682,DISCOURAGED,Pillar
683,ALLOWED,Variant
684,ALLOWED-WITH-REVIEW,Class
685,ALLOWED,Variant
686,ALLOWED,Variant
687,ALLOWED,Variant
688,ALLOWED,Variant
689,ALLOWED,Composite
690,DISCOURAGED,Chain
691,DISCOURAGED,Pillar
692,DISCOURAGED,Chain
693,DISCOURAGED,Pillar
694,ALLOWED,Base
695,ALLOWED,Base
696,ALLOWED-WITH-REVIEW,Class
697,DISCOURAGED,Pillar
698,ALLOWED,Base
703,DISCOURAGED,Pillar
704,ALLOWED-WITH-REVIEW,Class
705,ALLOWED-WITH-REVIEW,Class
706,ALLOWED-WITH-REVIEW,Class
707,DISCOURAGED,Pillar
708,ALLOWED,Base
710,DISCOURAGED,Pillar
732,ALLOWED-WITH-REVIEW,Class
733,ALLOWED,Base
749,ALLOWED,Base
754,ALLOWED-WITH-REVIEW,Class
755,DISCOURAGED,Class
756,ALLOWED,Base
757,ALLOWED,Base
758,ALLOWED-WITH-REVIEW,Class
759,ALLOWED,Variant
760,ALLOWED,Variant
761,ALLOWED,Variant
762,ALLOWED,Variant
763,ALLOWED,Base
764,ALLOWED,Base
765,ALLOWED,Base
766,ALLOWED,Variant
767,ALLOWED,Variant
768,ALLOWED,Variant
770,ALLOWED,Base
771,ALLOWED,Base
772,ALLOWED,Base
773,ALLOWED,Variant
774,ALLOWED,Variant
775,ALLOWED,Variant
776,ALLOWED,Base
777,ALLOWED,Variant
778,ALLOWED,Base
779,ALLOWED,Base
780,ALLOWED,Variant
781,ALLOWED,Variant
782,ALLOWED,Variant
783,ALLOWED,Base
784,ALLOWED,Variant
785,ALLOWED,Variant
786,ALLOWED,Base
787,ALLOWED,Base
788,ALLOWED,Base
789,ALLOWED,Variant
790,ALLOWED-WITH-REVIEW,Class
791,ALLOWED,Base
792,ALLOWED,Variant
793,ALLOWED,Variant
794,ALLOWED,Variant
795,ALLOWED,Base
796,ALLOWED,Variant
797,ALLOWED,Variant
798,ALLOWED,Base
799,ALLOWED-WITH-REVIEW,Class
804,ALLOWED,Base
805,ALLOWED,Base
806,ALLOWED,Variant
807,ALLOWED,Base
820,ALLOWED,Base
821,ALLOWED,Base
822,ALLOWED,Base
823,ALLOWED,Base
824,ALLOWED,Base
825,ALLOWED,Base
826,ALLOWED,Base
827,ALLOWED,Variant
828,ALLOWED,Base
829,ALLOWED,Base
830,ALLOWED,Variant
831,ALLOWED,Base
832,ALLOWED,Base
833,ALLOWED,Base
834,DISCOURAGED,Class
835,ALLOWED,Base
836,ALLOWED,Base
837,ALLOWED,Base
838,ALLOWED,Base
839,ALLOWED,Base
841,ALLOWED,Base
842,ALLOWED,Base
843,ALLOWED,Base
862,ALLOWED-WITH-REVIEW,Class
863,ALLOWED-WITH-REVIEW,Class
908,ALLOWED,Base
909,ALLOWED-WITH-REVIEW,Base
910,ALLOWED,Base
911,ALLOWED,Base
912,ALLOWED-WITH-REVIEW,Class
913,ALLOWED-WITH-REVIEW,Class
914,ALLOWED,Base
915,ALLOWED,Base
916,ALLOWED,Base
917,ALLOWED,Base
918,ALLOWED,Base
920,ALLOWED,Base
921,ALLOWED,Base
922,ALLOWED-WITH-REVIEW,Class
923,ALLOWED-WITH-REVIEW,Class
924,ALLOWED,Base
925,ALLOWED,Variant
926,ALLOWED,Variant
927,ALLOWED,Variant
939,ALLOWED,Base
940,ALLOWED,Base
941,ALLOWED,Base
942,ALLOWED,Variant
943,ALLOWED-WITH-REVIEW,Class
1004,ALLOWED,Variant
1007,ALLOWED,Base
1021,ALLOWED,Base
1022,ALLOWED,Variant
1023,ALLOWED-WITH-REVIEW,Class
1024,ALLOWED,Base
1025,ALLOWED,Base
1037,ALLOWED,Base
1038,ALLOWED-WITH-REVIEW,Class
1039,ALLOWED-WITH-REVIEW,Class
1041,ALLOWED,Base
1042,ALLOWED,Variant
1043,ALLOWED,Base
1044,ALLOWED,Base
1045,ALLOWED,Variant
1046,ALLOWED,Base
1047,ALLOWED,Base
1048,ALLOWED,Base
1049,ALLOWED,Base
1050,ALLOWED,Base
1051,ALLOWED,Base
1052,ALLOWED,Base
1053,ALLOWED,Base
1054,ALLOWED,Base
1055,ALLOWED,Base
1056,ALLOWED,Base
1057,ALLOWED,Base
1058,ALLOWED,Base
1059,PROHIBITED,Class
1060,ALLOWED,Base
1061,ALLOWED-WITH-REVIEW,Class
1062,ALLOWED,Base
1063,ALLOWED,Base
1064,ALLOWED,Base
1065,ALLOWED,Base
1066,ALLOWED,Base
1067,ALLOWED,Base
1068,ALLOWED,Base
1069,ALLOWED,Base
1070,ALLOWED,Base
1071,ALLOWED,Base
1072,ALLOWED,Base
1073,ALLOWED,Base
1074,ALLOWED,Base
1075,ALLOWED,Base
1076,PROHIBITED,Class
1077,ALLOWED,Variant
1078,PROHIBITED,Class
1079,ALLOWED,Base
1080,ALLOWED,Base
1082,ALLOWED,Base
1083,ALLOWED,Base
1084,ALLOWED,Base
1085,ALLOWED,Base
1086,ALLOWED,Base
1087,ALLOWED,Base
1088,ALLOWED,Base
1089,ALLOWED,Base
1090,ALLOWED,Base
1091,ALLOWED,Base
1092,ALLOWED,Base
1093,ALLOWED-WITH-REVIEW,Class
1094,ALLOWED,Base
1095,ALLOWED,Base
1096,ALLOWED,Variant
1097,ALLOWED,Base
1098,ALLOWED,Variant
1099,ALLOWED,Base
1100,ALLOWED,Base
1101,ALLOWED,Base
1102,ALLOWED,Base
1103,ALLOWED,Base
1104,ALLOWED,Base
1105,ALLOWED,Base
1106,ALLOWED,Base
1107,ALLOWED,Base
1108,ALLOWED,Base
1109,ALLOWED,Base
1110,ALLOWED,Base
1111,ALLOWED,Base
1112,ALLOWED,Base
1113,ALLOWED,Base
1114,ALLOWED,Base
1115,ALLOWED,Base
1116,ALLOWED,Base
1117,ALLOWED,Base
1118,ALLOWED,Base
1119,ALLOWED,Base
1120,ALLOWED-WITH-REVIEW,Class
1121,ALLOWED,Base
1122,ALLOWED,Base
1123,ALLOWED,Base
1124,ALLOWED,Base
1125,ALLOWED,Base
1126,ALLOWED,Base
1127,ALLOWED,Base
1164,ALLOWED-WITH-REVIEW,Class
1173,ALLOWED,Base
1174,ALLOWED,Variant
1176,ALLOWED-WITH-REVIEW,Class
1177,ALLOWED-WITH-REVIEW,Class
1188,ALLOWED,Base
1189,ALLOWED,Base
1190,ALLOWED,Base
1191,ALLOWED,Base
1192,ALLOWED,Base
1193,ALLOWED,Base
1204,ALLOWED,Base
1209,ALLOWED,Base
1220,ALLOWED,Base
1221,ALLOWED,Base
1222,ALLOWED,Variant
1223,ALLOWED,Base
1224,ALLOWED,Base
1229,ALLOWED-WITH-REVIEW,Class
1230,ALLOWED,Base
1231,ALLOWED,Base
1232,ALLOWED,Base
1233,ALLOWED,Base
1234,ALLOWED,Base
1235,ALLOWED,Base
1236,ALLOWED,Base
1239,ALLOWED,Variant
1240,ALLOWED,Base
1241,ALLOWED,Base
1242,ALLOWED,Base
1243,ALLOWED,Base
1244,ALLOWED,Base
1245,ALLOWED,Base
1246,ALLOWED,Base
1247,ALLOWED,Base
1248,ALLOWED,Base
1249,ALLOWED,Base
1250,ALLOWED,Base
1251,ALLOWED,Base
1252,ALLOWED,Base
1253,ALLOWED,Base
1254,ALLOWED,Base
1255,ALLOWED,Variant
1256,ALLOWED,Base
1257,ALLOWED,Base
1258,ALLOWED,Base
1259,ALLOWED,Base
1260,ALLOWED,Base
1261,ALLOWED,Base
1262,ALLOWED,Base
1263,ALLOWED-WITH-REVIEW,Class
1264,ALLOWED,Base
1265,ALLOWED,Base
1266,ALLOWED,Base
1267,ALLOWED,Base
1268,ALLOWED,Base
1269,ALLOWED,Base
1270,ALLOWED,Base
1271,ALLOWED,Base
1272,ALLOWED,Base
1273,ALLOWED,Base
1274,ALLOWED,Base
1275,ALLOWED,Variant
1276,ALLOWED,Base
1277,ALLOWED,Base
1278,ALLOWED,Base
1279,ALLOWED,Base
1280,ALLOWED,Base
1281,ALLOWED,Base
1282,ALLOWED,Base
1283,ALLOWED,Base
1284,ALLOWED,Base
1285,ALLOWED,Base
1286,ALLOWED,Base
1287,ALLOWED,Base
1288,ALLOWED,Base
1289,ALLOWED,Base
1290,ALLOWED,Base
1291,ALLOWED,Base
1292,ALLOWED,Base
1293,ALLOWED,Base
1294,ALLOWED-WITH-REVIEW,Class
1295,ALLOWED,Base
1296,ALLOWED,Base
1297,ALLOWED,Base
1298,ALLOWED,Base
1299,ALLOWED,Base
1300,ALLOWED,Base
1301,ALLOWED,Base
1302,ALLOWED,Base
1303,ALLOWED,Base
1304,ALLOWED,Base
1310,ALLOWED,Base
1311,ALLOWED,Base
1312,ALLOWED,Base
1313,ALLOWED,Base
1314,ALLOWED,Base
1315,ALLOWED,Base
1316,ALLOWED,Base
1317,ALLOWED,Base
1318,ALLOWED,Base
1319,ALLOWED,Base
1320,ALLOWED,Base
1321,ALLOWED,Variant
1322,ALLOWED,Base
1323,ALLOWED,Base
1325,ALLOWED,Base
1326,ALLOWED,Base
1327,ALLOWED,Base
1328,ALLOWED,Base
1329,ALLOWED,Base
1330,ALLOWED,Variant
1331,ALLOWED,Base
1332,ALLOWED,Base
1333,ALLOWED,Base
1334,ALLOWED,Base
1335,ALLOWED,Base
1336,ALLOWED,Base
1338,ALLOWED,Base
1339,ALLOWED,Base
1341,ALLOWED,Base
1342,ALLOWED,Base
1351,ALLOWED,Base
1357,ALLOWED-WITH-REVIEW,Class
1384,ALLOWED-WITH-REVIEW,Class
1385,ALLOWED,Variant
1386,ALLOWED,Base
1389,ALLOWED,Base
1390,ALLOWED-WITH-REVIEW,Class
1391,ALLOWED-WITH-REVIEW,Class
1392,ALLOWED,Base
1393,ALLOWED,Base
1394,ALLOWED,Base
1395,ALLOWED-WITH-REVIEW,Class
1419,ALLOWED-WITH-REVIEW,Class
1420,ALLOWED,Base
1421,ALLOWED,Base
1422,ALLOWED,Base
1423,ALLOWED,Base
1426,DISCOURAGED,Base
